id,member_id,date,title,tags,prefecture,venue,setlist_main,setlist_encore
103,0,2015/01/25,KAWAII POP FES by @JAM×J-GIRL POP WAVE vol.4 in台湾2015,フェス,台湾,The WALL TAIPEI,売れたいエモーション!|ザ・ティッシュ～とまらない青春～|バタフライエフェクト|放課後ゲタ箱ロッケンロールMX|梅|使ってポートフォリオ|アンコールの恋|Lon de Don|揚げろ!エビフライ|仮契約のシンデレラ,
102,0,2015/01/12,ふじいとヨメの七日間戦争 俺のエビしゃちライブ,,東京都,日本青年館 大ホール,ラブリースマイリーベイビー|ハイタテキ!|禁断のカルマ|誘惑したいや|チュパカブラ|大人はわかってくれない|放課後ゲタ箱ロッケンロールMX|仮契約のシンデレラ|もっと走れっ!!|頑張ってる途中|幸せの貼り紙はいつも背中に|ザ・ティッシュ～とまらない青春～|また明日,
101,0,2015/01/11,ふじいとヨメの七日間戦争 俺のザ・ベストテン,,東京都,日本青年館 大ホール,ぐらりぐら想い@小林歌穂|またあえるかな@安本彩花|一生 一緒 いいっしょ?@柏木ひなた|キミに39@星名美怜,
100,0,2015/01/07,ふじいとヨメの七日間戦争 俺のエビ中ライブ,,東京都,日本青年館 大ホール,大漁恵比寿節|ハイタテキ!|I can't stop the loneliness|未確認中学生X|バタフライエフェクト|あたしきっと無限ルーパー|踊るガリ勉中学生|梅|えびぞりダイアモンド!!|パクチー|アンコールの恋|誘惑したいや|涙は似合わない|Go!Go!Here We Go!ロック・リー|使ってポートフォリオ|中人DANCE MUSIC|スターダストライト|手をつなごう|フレ!フレ!サイリウム|永遠に中学生|仮契約のシンデレラ,
99,0,2014/12/21,「エビ中　真夏の南半キュリスマス」in 有明コロシアム,,東京都,有明コロシアム,Thanks! Merry Christmas K|未確認中学生X|Go!Go!Here We Go!ロック・リー|ハイタテキ!|ご存知!エビ中音頭|大漁恵比寿節|いつかのメイドインジャピャ～ン|放課後ゲタ箱ロッケンロールMX|チュパカブラ|もっと走れっ!!|サクラ・ゴーラウンド|パクチー|あたしきっと無限ルーパー|踊るガリ勉中学生|バタフライエフェクト|ラブリースマイリーベイビー|あるあるフラダンス|結果オーライ|ザ・ティッシュ～とまらない青春～|売れたいエモーション!|Lon de Don|揚げろ!エビフライ|ほぼブラジル,
98,0,2014/12/19,「エビ中　真冬の北半キュリスマス」in 有明コロシアム,,東京都,有明コロシアム,Thanks! Merry Christmas K|幸せの貼り紙はいつも背中に|約束|涙は似合わない|大好きだよ|I'm your MANAGER!!!|使ってポートフォリオ|Another Day|仮契約のシンデレラ|また明日|頑張ってる途中|イッショウトモダチ|フユコイ|大人はわかってくれない|アンコールの恋|禁断のカルマ|チャイム!|どしゃぶりリグレット|スターダストライト|U.B.U.|手をつなごう|フレ!フレ!サイリウム|永遠に中学生,
97,3,2014/11/28,「Liar Mask」発売記念フリーイベント～マヤマが斬る！～,,大阪府,あべのキューズモール,Liar Mask|蜃気楼,
96,3,2014/11/27,「Liar Mask」発売記念フリーイベント～マヤマが斬る！～,,千葉県,ららぽーと柏の葉,Liar Mask|蜃気楼,
95,3,2014/11/26,「Liar Mask」発売記念フリーイベント～マヤマが斬る！～,,東京都,MEGA WEB トヨタ シティショウケース,Liar Mask|蜃気楼,
94,0,2014/11/08,私立恵比寿中学 東西大学芸会2014「エビ中のおもちゃビッグガレージ」,,兵庫県,神戸ワールド記念ホール,ハイタテキ!|えびぞりダイアモンド!!|放課後ゲタ箱ロッケンロールMX|Go!Go!Here We Go!ロック・リー|I can't stop the loneliness|梅|未確認中学生X|バタフライエフェクト|ペコペコリーヌ@中山莉子|できるかな?@松野莉奈|またあえるかな@安本彩花|Liar Mask@真山りか|踊るガリ勉中学生|スターダストライト|アンコールの恋|U.B.U.|I'm your MANAGER!!!|ラブリースマイリーベイビー|Lon de Don|涙は似合わない|仮契約のシンデレラ|フレ!フレ!サイリウム |幸せの貼り紙はいつも背中に|大漁恵比寿節|あたしきっと無限ルーパー|大人はわかってくれない|手をつなごう,
93,0,2014/11/03,私立恵比寿中学 東西大学芸会2014「エビ中のおもちゃビッグガレージ」,,神奈川県,横浜アリーナ,ハイタテキ!|えびぞりダイアモンド!!|オーマイゴースト?～わたしが悪霊になっても～|Go!Go!Here We Go!ロック・リー|I can't stop the loneliness|梅|未確認中学生X|バタフライエフェクト|キミに39@星名美怜|ぐらりぐら想い@小林歌穂|Fantastic Baby Love@柏木ひなた|ぁぃぁぃといく日本全国鉄道の旅@廣田あいか|踊るガリ勉中学生|スターダストライト|アンコールの恋|誘惑したいや|I'm your MANAGER!!!|ラブリースマイリーベイビー|Lon de Don|涙は似合わない|仮契約のシンデレラ|フレ!フレ!サイリウム|幸せの貼り紙はいつも背中に|大漁恵比寿節|ザ・ティッシュ～とまらない青春～|放課後ゲタ箱ロッケンロールMX|頑張ってる途中,
92,0,2014/10/19,エビマニvol.1〜逆襲の干され曲〜,,千葉県,舞浜アンフィシアター,ダイビング|結果オーライ|歌え!踊れ!エビーダダ!|パクチー|U.B.U.|エビ中一週間|あたしきっと無限ルーパー|Another Day|どしゃぶりリグレット|大好きだよ|新・青春そのもの|ONE LOVE|中人DANCE MUSIC|使ってポートフォリオ|揚げろ!エビフライ|約束|また明日,
91,0,2014/10/18,エビ中×流れ星 グローバル化計画 SPECIAL☆NIGHT in舞浜,,千葉県,舞浜アンフィシアター,バタフライエフェクト|未確認中学生X|ほぼブラジル|Lon de Don|誘惑したいや|ハイタテキ!|仮契約のシンデレラ|ラブリースマイリーベイビー,
90,0,2014/10/13,サークルＫサンクス ハロウィン企画 私立恵比寿中学 ハロウィンミニライブ,,,,オーマイゴースト?～わたしが悪霊になっても～|禁断のカルマ|バタフライエフェクト|仮契約のシンデレラ|ハイタテキ!,
89,0,2014/10/12,私立恵比寿中学オータムソニー・ミュージックレーベルズハヌケツアー2014～どうかせんぱちぱちhahahaん～,,愛媛県,城山公園堀之内地区 ふれあい交流広場,アンコールの恋|頑張ってる途中|仮契約のシンデレラ|放課後ゲタ箱ロッケンロールMX|誘惑したいや|ハイタテキ!,
88,0,2014/10/05,私立恵比寿中学オータムソニー・ミュージックレーベルズハヌケツアー2014～どうかせんぱちぱちhahahaん～,,和歌山県,イオンモール和歌山,ダイビング|ラブリースマイリーベイビー|Go!Go!Here We Go!ロック・リー|梅|ハイタテキ!,えびぞりダイアモンド!!
87,0,2014/09/27,私立恵比寿中学オータムソニー・ミュージックレーベルズハヌケツアー2014～どうかせんぱちぱちhahahaん～,,秋田県,イオンモール秋田,バタフライエフェクト|仮契約のシンデレラ|ラブリースマイリーベイビー|ザ・ティッシュ～とまらない青春～|ハイタテキ!,放課後ゲタ箱ロッケンロールMX
86,0,2014/09/21,私立恵比寿中学オータムソニー・ミュージックレーベルズハヌケツアー2014～どうかせんぱちぱちhahahaん～,,長崎県,長崎水辺の森公園,手をつなごう|頑張ってる途中|えびぞりダイアモンド!!|未確認中学生X|ハイタテキ!,
85,0,2014/09/15,私立恵比寿中学オータムソニー・ミュージックレーベルズハヌケツアー2014～どうかせんぱちぱちhahahaん～,,京都府,京都府立山城総合運動公園 太陽が丘特設野外ステージ,もっと走れっ!!|I'm your MANAGER!!!|バタフライエフェクト|禁断のカルマ|ハイタテキ!,
84,0,2014/09/14,イナズマロックフェス 2014,,滋賀県,雷神STAGE at 滋賀県草津市烏丸半島芝生広場,スターダストライト|アンコールの恋|ラブリースマイリーベイビー|誘惑したいや|仮契約のシンデレラ|幸せの貼り紙はいつも背中に,
83,0,2014/09/13,氣志團万博2014 ～房総大パニック ! 超激突!!,,千葉県,袖ケ浦海浜公園,売れたいエモーション!|Go!Go!Here We Go!ロック・リー|未確認中学生X|仮契約のシンデレラ|いつかのメイドインジャピャ～ン|放課後ゲタ箱ロッケンロールMX|大人はわかってくれない,
82,0,2014/08/23,エビ中沖縄初上陸～ハイタイ!ナイチから来ました。私立恵比寿中学です!いちゃりばちょーでー～,,沖縄県,サンエー那覇メインプレイス,ラブリースマイリーベイビー|チャイム!|Go!Go!Here We Go!ロック・リー|ほぼブラジル|あるあるフラダンス|未確認中学生X|永遠に中学生|仮契約のシンデレラ,
81,0,2014/08/19,a-nation island GIRLS' FACTORY 14 Day2,,,,ザ・ティッシュ～とまらない青春～|仮契約のシンデレラ|バタフライエフェクト|大人はわかってくれない|永遠のトリニティー,
80,0,2014/08/04,エビ中 夏のファミリー遠足 略してファミえん in 山中湖2014,ファミえん,山梨県,山中湖交流プラザきらら シアターひびき,ご存知!エビ中音頭|仮契約のシンデレラ|R-O-B-O-C-K|あるあるフラダンス|未確認中学生X|あたしきっと無限ルーパー|頑張ってる途中|大人はわかってくれない|体操|禁断のカルマ|バタフライエフェクト|アンコールの恋|中人DANCE MUSIC|梅|放課後ゲタ箱ロッケンロールMX|Lon de Don|いつかのメイドインジャピャ～ン|手をつなごう|いい湯かな?|誘惑したいや|幸せの貼り紙はいつも背中に,ラブリースマイリーベイビー|えびぞりダイアモンド!!|フレ!フレ!サイリウム|オーマイゴースト?～わたしが悪霊になっても～
79,0,2014/07/22,お台場新大陸2014 めざましライブ,,東京都,お台場新大陸 新大陸 Great Summer スタジアム,ラブリースマイリーベイビー|えびぞりダイアモンド!! |アンコールの恋|頑張ってる途中|手をつなごう|誘惑したいや,仮契約のシンデレラ
78,0,2014/06/26,「極東ロックンロール・ハイスクール 第弍章」 #40 私立恵比寿中学 vs 氣志團～私立恵比寿中学・私立戸塚水産高校 合同コンサートGIG 略して合コンin Zepp Tokyo 2014～,,東京都,Zepp Tokyo,Lon de Don|ラブリースマイリーベイビー|Go!Go!Here We Go!ロック・リー|アンコールの恋|未確認中学生X|仮契約のシンデレラ|放課後ゲタ箱ロッケンロールMX|幸せの貼り紙はいつも背中に,
77,0,2014/06/15,私立恵比寿中学スプリングソニー・ミュージックレーベルズルーキーツアー2014～生まれ変わりちょうちょうボーンとエトセトラ～,春ツアー,神奈川県,パシフィコ横浜 国立大ホール,バタフライエフェクト|オーマイゴースト?～わたしが悪霊になっても～|踊るガリ勉中学生|ほぼブラジル|歌え!踊れ!エビーダダ!|パクチー|禁断のカルマ|大人はわかってくれない|アンコールの恋|ラブリースマイリーベイビー|U.B.U.|誘惑したいや|使ってポートフォリオ|I'm your MANAGER!!!|できるかな?@松野莉奈|頑張ってる途中|未確認中学生X|仮契約のシンデレラ|フレ!フレ!サイリウム,放課後ゲタ箱ロッケンロールMX|Go!Go!Here We Go!ロック・リー|幸せの貼り紙はいつも背中に
76,0,2014/06/14,私立恵比寿中学スプリングソニー・ミュージックレーベルズルーキーツアー2014～生まれ変わりちょうちょうボーンとエトセトラ～,春ツアー,宮城県,仙台銀行ホール イズミティ21 大ホール,バタフライエフェクト|未確認中学生X|踊るガリ勉中学生|オーマイゴースト?～わたしが悪霊になっても～|使ってポートフォリオ|ザ・ティッシュ～とまらない青春～|U.B.U.|禁断のカルマ|アンコールの恋|ラブリースマイリーベイビー|えびぞりダイアモンド!!|売れたいエモーション!|梅|Fantastic Baby Love@柏木ひなた|誘惑したいや|仮契約のシンデレラ|放課後ゲタ箱ロッケンロールMX|幸せの貼り紙はいつも背中に,Lon de Don|スターダストライト|手をつなごう
75,0,2014/05/25,私立恵比寿中学スプリングソニー・ミュージックレーベルズルーキーツアー2014～生まれ変わりちょうちょうボーンとエトセトラ～,春ツアー,福岡県,Zepp Fukuoka,バタフライエフェクト|未確認中学生X|踊るガリ勉中学生|オーマイゴースト?～わたしが悪霊になっても～|Go!Go!Here We Go!ロック・リー|禁断のカルマ|アンコールの恋|チャイム!|U.B.U.|Kindness@廣田あいか|誘惑したいや|えびぞりダイアモンド!!|放課後ゲタ箱ロッケンロールMX|仮契約のシンデレラ|幸せの貼り紙はいつも背中に,ザ・ティッシュ～とまらない青春～|フレ!フレ!サイリウム |永遠に中学生
74,0,2014/05/25,私立恵比寿中学スプリングソニー・ミュージックレーベルズルーキーツアー2014～生まれ変わりちょうちょうボーンとエトセトラ～,春ツアー,福岡県,Zepp Fukuoka,バタフライエフェクト|使ってポートフォリオ|踊るガリ勉中学生|梅|パクチー|禁断のカルマ|アンコールの恋|もっと走れっ!! |頑張ってる途中|Kindness@廣田あいか|誘惑したいや|売れたいエモーション!|仮契約のシンデレラ|放課後ゲタ箱ロッケンロールMX|幸せの貼り紙はいつも背中に,Lon de Don|スターダストライト|手をつなごう
73,0,2014/05/24,私立恵比寿中学スプリングソニー・ミュージックレーベルズルーキーツアー2014～生まれ変わりちょうちょうボーンとエトセトラ～,春ツアー,京都府,京都府立山城総合運動公園,未確認中学生X|踊るガリ勉中学生|バタフライエフェクト|アンコールの恋|パクチー|手をつなごう,
72,0,2014/05/18,私立恵比寿中学スプリングソニー・ミュージックレーベルズルーキーツアー2014～生まれ変わりちょうちょうボーンとエトセトラ～,春ツアー,大分県,パークプレイス大分,ザ・ティッシュ～とまらない青春～|Lon de Don|バタフライエフェクト|仮契約のシンデレラ|アンコールの恋|誘惑したいや,
71,0,2014/05/17,第38回愛媛大学医学部 医学祭,,愛媛県,愛媛大学 医学部体育館,バタフライエフェクト|放課後ゲタ箱ロッケンロールMX|未確認中学生X|禁断のカルマ|アンコールの恋|仮契約のシンデレラ|大人はわかってくれない,
